id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
2996;WeatherStation;49387063D9374225;134;118;ANE;4.00;"2018-02-21 16:00:48";128;noraw;1;meshliuma460
3005;WeatherStation;49387063D9374225;134;119;ANE;8.80;"2018-02-21 16:01:41";128;noraw;1;meshliuma460
3011;WeatherStation;49387063D9374225;134;120;ANE;12.80;"2018-02-21 16:02:41";128;noraw;1;meshliuma460
3014;WeatherStation;49387063D9374225;134;121;ANE;8.00;"2018-02-21 16:03:41";128;noraw;1;meshliuma460
3037;WeatherStation;49387063D9374225;134;125;ANE;16.00;"2018-02-21 16:04:48";128;noraw;1;meshliuma460
3050;WeatherStation;49387063D9374225;134;126;ANE;9.60;"2018-02-21 16:06:41";128;noraw;1;meshliuma460
3056;WeatherStation;49387063D9374225;134;127;ANE;8.80;"2018-02-21 16:07:41";128;noraw;1;meshliuma460
3069;WeatherStation;49387063D9374225;134;131;ANE;13.60;"2018-02-21 16:08:48";128;noraw;1;meshliuma460
3116;WeatherStation;49387063D9374225;134;135;ANE;14.40;"2018-02-21 16:12:48";128;noraw;1;meshliuma460
3123;WeatherStation;49387063D9374225;134;136;ANE;8.00;"2018-02-21 16:14:41";128;noraw;1;meshliuma460
3129;WeatherStation;49387063D9374225;134;137;ANE;8.80;"2018-02-21 16:15:41";128;noraw;1;meshliuma460
3164;WeatherStation;49387063D9374225;134;141;ANE;4.80;"2018-02-21 16:16:48";128;noraw;1;meshliuma460
3170;WeatherStation;49387063D9374225;134;142;ANE;10.40;"2018-02-21 16:17:41";128;noraw;1;meshliuma460
3180;WeatherStation;49387063D9374225;134;143;ANE;11.20;"2018-02-21 16:19:41";128;noraw;1;meshliuma460
3193;WeatherStation;49387063D9374225;134;147;ANE;12.00;"2018-02-21 16:20:48";128;noraw;1;meshliuma460
3223;WeatherStation;49387063D9374225;134;148;ANE;4.80;"2018-02-21 16:23:41";128;noraw;1;meshliuma460
3236;WeatherStation;49387063D9374225;134;152;ANE;8.00;"2018-02-21 16:24:48";128;noraw;1;meshliuma460
3253;WeatherStation;49387063D9374225;134;157;ANE;16.80;"2018-02-21 16:27:41";128;noraw;1;meshliuma460
3281;WeatherStation;49387063D9374225;134;161;ANE;9.60;"2018-02-21 16:30:12";128;noraw;1;meshliuma460
3283;WeatherStation;49387063D9374225;134;162;ANE;4.80;"2018-02-21 16:30:41";128;noraw;1;meshliuma460
3301;WeatherStation;49387063D9374225;134;163;ANE;15.20;"2018-02-21 16:31:41";128;noraw;1;meshliuma460
3307;WeatherStation;49387063D9374225;134;164;ANE;8.00;"2018-02-21 16:32:41";128;noraw;1;meshliuma460
3320;WeatherStation;49387063D9374225;134;168;ANE;5.60;"2018-02-21 16:33:48";128;noraw;1;meshliuma460
3330;WeatherStation;49387063D9374225;134;169;ANE;4.80;"2018-02-21 16:35:41";128;noraw;1;meshliuma460
3349;WeatherStation;49387063D9374225;134;170;ANE;8.80;"2018-02-21 16:36:41";128;noraw;1;meshliuma460
3366;WeatherStation;49387063D9374225;134;174;ANE;3.20;"2018-02-21 16:37:48";128;noraw;1;meshliuma460
3382;WeatherStation;49387063D9374225;134;175;ANE;8.00;"2018-02-21 16:40:41";128;noraw;1;meshliuma460
3402;WeatherStation;49387063D9374225;134;179;ANE;6.40;"2018-02-21 16:41:48";128;noraw;1;meshliuma460
3414;WeatherStation;49387063D9374225;134;180;ANE;11.20;"2018-02-21 16:42:41";128;noraw;1;meshliuma460
3420;WeatherStation;49387063D9374225;134;181;ANE;19.20;"2018-02-21 16:43:41";128;noraw;1;meshliuma460
3430;WeatherStation;49387063D9374225;134;182;ANE;12.00;"2018-02-21 16:44:41";128;noraw;1;meshliuma460
3448;WeatherStation;49387063D9374225;134;186;ANE;8.80;"2018-02-21 16:45:48";128;noraw;1;meshliuma460
3457;WeatherStation;49387063D9374225;134;187;ANE;11.20;"2018-02-21 16:46:41";128;noraw;1;meshliuma460
3463;WeatherStation;49387063D9374225;134;188;ANE;6.40;"2018-02-21 16:47:41";128;noraw;1;meshliuma460
3490;WeatherStation;49387063D9374225;134;192;ANE;5.60;"2018-02-21 16:49:48";128;noraw;1;meshliuma460
3501;WeatherStation;49387063D9374225;134;193;ANE;8.80;"2018-02-21 16:51:41";128;noraw;1;meshliuma460
3507;WeatherStation;49387063D9374225;134;194;ANE;9.60;"2018-02-21 16:52:41";128;noraw;1;meshliuma460
3520;WeatherStation;49387063D9374225;134;198;ANE;8.00;"2018-02-21 16:53:48";128;noraw;1;meshliuma460
3536;WeatherStation;49387063D9374225;134;199;ANE;10.40;"2018-02-21 16:54:41";128;noraw;1;meshliuma460
3560;WeatherStation;49387063D9374225;134;203;ANE;9.60;"2018-02-21 16:57:48";128;noraw;1;meshliuma460
3568;WeatherStation;49387063D9374225;134;204;ANE;16.00;"2018-02-21 16:59:41";128;noraw;1;meshliuma460
3592;WeatherStation;49387063D9374225;134;208;ANE;10.40;"2018-02-21 17:00:48";128;noraw;1;meshliuma460
3601;WeatherStation;49387063D9374225;134;209;ANE;8.80;"2018-02-21 17:01:41";128;noraw;1;meshliuma460
3607;WeatherStation;49387063D9374225;134;210;ANE;18.40;"2018-02-21 17:02:41";128;noraw;1;meshliuma460
3624;WeatherStation;49387063D9374225;134;214;ANE;9.60;"2018-02-21 17:04:48";128;noraw;1;meshliuma460
3652;WeatherStation;49387063D9374225;134;215;ANE;11.20;"2018-02-21 17:07:41";128;noraw;1;meshliuma460
3665;WeatherStation;49387063D9374225;134;219;ANE;14.40;"2018-02-21 17:08:48";128;noraw;1;meshliuma460
3668;WeatherStation;49387063D9374225;134;220;ANE;7.20;"2018-02-21 17:09:41";128;noraw;1;meshliuma460
3705;WeatherStation;49387063D9374225;134;224;ANE;9.60;"2018-02-21 17:12:48";128;noraw;1;meshliuma460
3716;WeatherStation;49387063D9374225;134;225;ANE;12.80;"2018-02-21 17:14:41";128;noraw;1;meshliuma460
3736;WeatherStation;49387063D9374225;134;229;ANE;9.60;"2018-02-21 17:16:48";128;noraw;1;meshliuma460
3757;WeatherStation;49387063D9374225;134;230;ANE;7.20;"2018-02-21 17:19:41";128;noraw;1;meshliuma460
3770;WeatherStation;49387063D9374225;134;234;ANE;12.00;"2018-02-21 17:20:48";128;noraw;1;meshliuma460
3790;WeatherStation;49387063D9374225;134;235;ANE;5.60;"2018-02-21 17:23:41";128;noraw;1;meshliuma460
3813;WeatherStation;49387063D9374225;134;239;ANE;8.80;"2018-02-21 17:24:48";128;noraw;1;meshliuma460
3816;WeatherStation;49387063D9374225;134;240;ANE;9.60;"2018-02-21 17:25:41";128;noraw;1;meshliuma460
3843;WeatherStation;49387063D9374225;134;244;ANE;10.40;"2018-02-21 17:28:48";128;noraw;1;meshliuma460
3852;WeatherStation;49387063D9374225;134;245;ANE;4.80;"2018-02-21 17:29:41";128;noraw;1;meshliuma460
3865;WeatherStation;49387063D9374225;134;246;ANE;9.60;"2018-02-21 17:30:41";128;noraw;1;meshliuma460
3877;WeatherStation;49387063D9374225;134;247;ANE;8.00;"2018-02-21 17:31:41";128;noraw;1;meshliuma460
3890;WeatherStation;49387063D9374225;134;251;ANE;9.60;"2018-02-21 17:32:48";128;noraw;1;meshliuma460
3896;WeatherStation;49387063D9374225;134;252;ANE;12.80;"2018-02-21 17:33:41";128;noraw;1;meshliuma460
3931;WeatherStation;49387063D9374225;134;0;ANE;5.60;"2018-02-21 17:36:48";128;noraw;1;meshliuma460
3934;WeatherStation;49387063D9374225;134;1;ANE;10.40;"2018-02-21 17:37:41";128;noraw;1;meshliuma460
3943;WeatherStation;49387063D9374225;134;2;ANE;11.20;"2018-02-21 17:38:41";128;noraw;1;meshliuma460
3949;WeatherStation;49387063D9374225;134;3;ANE;16.80;"2018-02-21 17:39:41";128;noraw;1;meshliuma460
