id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
2991;WeatherStation;49387063D9374225;134;116;LUX;13501;"2018-02-21 16:00:43";128;noraw;1;meshliuma460
3033;WeatherStation;49387063D9374225;134;123;LUX;13688;"2018-02-21 16:04:43";128;noraw;1;meshliuma460
3065;WeatherStation;49387063D9374225;134;129;LUX;13507;"2018-02-21 16:08:43";128;noraw;1;meshliuma460
3112;WeatherStation;49387063D9374225;134;133;LUX;13374;"2018-02-21 16:12:43";128;noraw;1;meshliuma460
3160;WeatherStation;49387063D9374225;134;139;LUX;12853;"2018-02-21 16:16:44";128;noraw;1;meshliuma460
3189;WeatherStation;49387063D9374225;134;145;LUX;11669;"2018-02-21 16:20:43";128;noraw;1;meshliuma460
3232;WeatherStation;49387063D9374225;134;150;LUX;10314;"2018-02-21 16:24:44";128;noraw;1;meshliuma460
3276;WeatherStation;49387063D9374225;134;159;LUX;9094;"2018-02-21 16:30:07";128;noraw;1;meshliuma460
3316;WeatherStation;49387063D9374225;134;166;LUX;8153;"2018-02-21 16:33:43";128;noraw;1;meshliuma460
3358;WeatherStation;49387063D9374225;134;172;LUX;7184;"2018-02-21 16:37:43";128;noraw;1;meshliuma460
3394;WeatherStation;49387063D9374225;134;177;LUX;6367;"2018-02-21 16:41:43";128;noraw;1;meshliuma460
3444;WeatherStation;49387063D9374225;134;184;LUX;5942;"2018-02-21 16:45:43";128;noraw;1;meshliuma460
3486;WeatherStation;49387063D9374225;134;190;LUX;5619;"2018-02-21 16:49:43";128;noraw;1;meshliuma460
3516;WeatherStation;49387063D9374225;134;196;LUX;5005;"2018-02-21 16:53:43";128;noraw;1;meshliuma460
3556;WeatherStation;49387063D9374225;134;201;LUX;4337;"2018-02-21 16:57:43";128;noraw;1;meshliuma460
3587;WeatherStation;49387063D9374225;134;206;LUX;3932;"2018-02-21 17:00:43";128;noraw;1;meshliuma460
3620;WeatherStation;49387063D9374225;134;212;LUX;3557;"2018-02-21 17:04:43";128;noraw;1;meshliuma460
3658;WeatherStation;49387063D9374225;134;217;LUX;3215;"2018-02-21 17:08:43";128;noraw;1;meshliuma460
3701;WeatherStation;49387063D9374225;134;222;LUX;2917;"2018-02-21 17:12:43";128;noraw;1;meshliuma460
3732;WeatherStation;49387063D9374225;134;227;LUX;2506;"2018-02-21 17:16:43";128;noraw;1;meshliuma460
3766;WeatherStation;49387063D9374225;134;232;LUX;2050;"2018-02-21 17:20:43";128;noraw;1;meshliuma460
3809;WeatherStation;49387063D9374225;134;237;LUX;1593;"2018-02-21 17:24:43";128;noraw;1;meshliuma460
3839;WeatherStation;49387063D9374225;134;242;LUX;1195;"2018-02-21 17:28:43";128;noraw;1;meshliuma460
3886;WeatherStation;49387063D9374225;134;249;LUX;905;"2018-02-21 17:32:43";128;noraw;1;meshliuma460
