id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
17374;WeatherStation;49387063D9374225;134;237;PLV2;1.68;"2018-02-22 16:00:48";128;noraw;1;meshliuma460
17877;WeatherStation;49387063D9374225;134;57;PLV2;0.56;"2018-02-22 17:00:48";128;noraw;1;meshliuma460
18338;WeatherStation;49387063D9374225;134;153;PLV2;0.84;"2018-02-22 18:00:48";128;noraw;1;meshliuma460
18867;WeatherStation;49387063D9374225;134;243;PLV2;0.56;"2018-02-22 19:00:49";128;noraw;1;meshliuma460
19418;WeatherStation;49387063D9374225;134;79;PLV2;0.56;"2018-02-22 20:00:48";128;noraw;1;meshliuma460
20046;WeatherStation;49387063D9374225;134;166;PLV2;0.28;"2018-02-22 21:00:49";128;noraw;1;meshliuma460
20685;WeatherStation;49387063D9374225;134;3;PLV2;2.24;"2018-02-22 22:00:49";128;noraw;1;meshliuma460
21304;WeatherStation;49387063D9374225;134;88;PLV2;0.00;"2018-02-22 23:00:49";128;noraw;1;meshliuma460
21899;WeatherStation;49387063D9374225;134;165;PLV2;0.00;"2018-02-23 00:00:49";128;noraw;1;meshliuma460
22530;WeatherStation;49387063D9374225;134;253;PLV2;0.00;"2018-02-23 01:00:49";128;noraw;1;meshliuma460
23135;WeatherStation;49387063D9374225;134;78;PLV2;0.00;"2018-02-23 02:00:49";128;noraw;1;meshliuma460
23747;WeatherStation;49387063D9374225;134;152;PLV2;0.00;"2018-02-23 03:00:49";128;noraw;1;meshliuma460
24352;WeatherStation;49387063D9374225;134;226;PLV2;0.00;"2018-02-23 04:00:49";128;noraw;1;meshliuma460
24935;WeatherStation;49387063D9374225;134;34;PLV2;0.00;"2018-02-23 05:00:49";128;noraw;1;meshliuma460
25522;WeatherStation;49387063D9374225;134;100;PLV2;0.00;"2018-02-23 06:00:50";128;noraw;1;meshliuma460
26118;WeatherStation;49387063D9374225;134;170;PLV2;0.00;"2018-02-23 07:00:49";128;noraw;1;meshliuma460
26677;WeatherStation;49387063D9374225;134;238;PLV2;0.00;"2018-02-23 08:00:50";128;noraw;1;meshliuma460
27188;WeatherStation;49387063D9374225;134;65;PLV2;0.28;"2018-02-23 09:00:50";128;noraw;1;meshliuma460
27798;WeatherStation;49387063D9374225;134;141;PLV2;0.28;"2018-02-23 10:00:50";128;noraw;1;meshliuma460
28399;WeatherStation;49387063D9374225;134;216;PLV2;1.12;"2018-02-23 11:00:50";128;noraw;1;meshliuma460
29015;WeatherStation;49387063D9374225;134;51;PLV2;1.40;"2018-02-23 12:00:50";128;noraw;1;meshliuma460
29578;WeatherStation;49387063D9374225;134;136;PLV2;2.51;"2018-02-23 13:00:50";128;noraw;1;meshliuma460
30164;WeatherStation;49387063D9374225;134;237;PLV2;3.35;"2018-02-23 14:00:50";128;noraw;1;meshliuma460
30731;WeatherStation;49387063D9374225;134;74;PLV2;5.03;"2018-02-23 15:00:50";128;noraw;1;meshliuma460
31320;WeatherStation;49387063D9374225;134;168;PLV2;3.07;"2018-02-23 16:00:50";128;noraw;1;meshliuma460
31918;WeatherStation;49387063D9374225;134;252;PLV2;1.12;"2018-02-23 17:00:50";128;noraw;1;meshliuma460
32490;WeatherStation;49387063D9374225;134;77;PLV2;0.56;"2018-02-23 18:00:51";128;noraw;1;meshliuma460
33059;WeatherStation;49387063D9374225;134;163;PLV2;0.00;"2018-02-23 19:00:51";128;noraw;1;meshliuma460
33660;WeatherStation;49387063D9374225;134;245;PLV2;0.00;"2018-02-23 20:00:51";128;noraw;1;meshliuma460
34264;WeatherStation;49387063D9374225;134;67;PLV2;0.00;"2018-02-23 21:00:51";128;noraw;1;meshliuma460
34879;WeatherStation;49387063D9374225;134;143;PLV2;0.28;"2018-02-23 22:00:51";128;noraw;1;meshliuma460
35492;WeatherStation;49387063D9374225;134;226;PLV2;0.28;"2018-02-23 23:00:51";128;noraw;1;meshliuma460
36076;WeatherStation;49387063D9374225;134;35;PLV2;0.28;"2018-02-24 00:00:51";128;noraw;1;meshliuma460
36660;WeatherStation;49387063D9374225;134;100;PLV2;0.28;"2018-02-24 01:00:51";128;noraw;1;meshliuma460
37242;WeatherStation;49387063D9374225;134;163;PLV2;0.56;"2018-02-24 02:00:51";128;noraw;1;meshliuma460
37831;WeatherStation;49387063D9374225;134;225;PLV2;0.00;"2018-02-24 03:00:51";128;noraw;1;meshliuma460
38421;WeatherStation;49387063D9374225;134;29;PLV2;0.00;"2018-02-24 04:00:51";128;noraw;1;meshliuma460
39016;WeatherStation;49387063D9374225;134;96;PLV2;0.84;"2018-02-24 05:00:51";128;noraw;1;meshliuma460
39607;WeatherStation;49387063D9374225;134;160;PLV2;1.12;"2018-02-24 06:00:52";128;noraw;1;meshliuma460
40205;WeatherStation;49387063D9374225;134;223;PLV2;0.28;"2018-02-24 07:00:52";128;noraw;1;meshliuma460
40788;WeatherStation;49387063D9374225;134;31;PLV2;0.00;"2018-02-24 08:00:52";128;noraw;1;meshliuma460
41389;WeatherStation;49387063D9374225;134;98;PLV2;0.00;"2018-02-24 09:00:52";128;noraw;1;meshliuma460
41986;WeatherStation;49387063D9374225;134;165;PLV2;0.28;"2018-02-24 10:00:52";128;noraw;1;meshliuma460
42571;WeatherStation;49387063D9374225;134;232;PLV2;0.56;"2018-02-24 11:00:52";128;noraw;1;meshliuma460
43195;WeatherStation;49387063D9374225;134;56;PLV2;0.00;"2018-02-24 12:00:52";128;noraw;1;meshliuma460
43805;WeatherStation;49387063D9374225;134;140;PLV2;0.00;"2018-02-24 13:00:52";128;noraw;1;meshliuma460
