id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
2988;WeatherStation;49387063D9374225;134;115;TC;11.24;"2018-02-21 16:00:41";128;noraw;1;meshliuma460
3030;WeatherStation;49387063D9374225;134;122;TC;11.22;"2018-02-21 16:04:41";128;noraw;1;meshliuma460
3062;WeatherStation;49387063D9374225;134;128;TC;11.18;"2018-02-21 16:08:41";128;noraw;1;meshliuma460
3109;WeatherStation;49387063D9374225;134;132;TC;11.28;"2018-02-21 16:12:41";128;noraw;1;meshliuma460
3157;WeatherStation;49387063D9374225;134;138;TC;11.19;"2018-02-21 16:16:41";128;noraw;1;meshliuma460
3186;WeatherStation;49387063D9374225;134;144;TC;11.05;"2018-02-21 16:20:41";128;noraw;1;meshliuma460
3229;WeatherStation;49387063D9374225;134;149;TC;10.94;"2018-02-21 16:24:41";128;noraw;1;meshliuma460
3273;WeatherStation;49387063D9374225;134;158;TC;10.92;"2018-02-21 16:30:05";128;noraw;1;meshliuma460
3313;WeatherStation;49387063D9374225;134;165;TC;10.81;"2018-02-21 16:33:41";128;noraw;1;meshliuma460
3355;WeatherStation;49387063D9374225;134;171;TC;10.77;"2018-02-21 16:37:41";128;noraw;1;meshliuma460
3391;WeatherStation;49387063D9374225;134;176;TC;10.68;"2018-02-21 16:41:41";128;noraw;1;meshliuma460
3441;WeatherStation;49387063D9374225;134;183;TC;10.52;"2018-02-21 16:45:41";128;noraw;1;meshliuma460
3480;WeatherStation;49387063D9374225;134;189;TC;10.41;"2018-02-21 16:49:41";128;noraw;1;meshliuma460
3513;WeatherStation;49387063D9374225;134;195;TC;10.43;"2018-02-21 16:53:41";128;noraw;1;meshliuma460
3553;WeatherStation;49387063D9374225;134;200;TC;10.35;"2018-02-21 16:57:41";128;noraw;1;meshliuma460
3584;WeatherStation;49387063D9374225;134;205;TC;10.31;"2018-02-21 17:00:41";128;noraw;1;meshliuma460
3617;WeatherStation;49387063D9374225;134;211;TC;10.23;"2018-02-21 17:04:41";128;noraw;1;meshliuma460
3655;WeatherStation;49387063D9374225;134;216;TC;10.13;"2018-02-21 17:08:41";128;noraw;1;meshliuma460
3698;WeatherStation;49387063D9374225;134;221;TC;10.02;"2018-02-21 17:12:41";128;noraw;1;meshliuma460
